| productID: 90436532 , Product info: Name: قوری پیرکس ۱۱۰۰ میل | Price: 75000 | Description: - | Table: [تعداد درکارتن: ۱۸ عدد] | | 
 | productID: 90436533 , Product info: Name: قوری پیرکس ۱۱۰۰ میل | Price: 75000 | Description: - | Table: [تعداد در کارتن: ۱۸ عدد] | |, 
 | productID: 90436534 , Product info: Name: اردو ماه و ستاره | Price: 110000 | Description: - | Table: [ابعاد: 27 سانت|تعداد در کارتن: 24 عدد] | |, 
 | productID: 90436535 , Product info: Name: روغن ریز ۱لیتر پیرکس | Price: 235000 | Description: - | Table: [تعداد در کارتن: ۲۴ عدد | شعله مستقیم: بله] | |, 
 | productID: 90436537 , Product info: Name: فرنچ پرس ۶۰۰میل طرح استارباکس | Price: 99000 | Description: - | Table: [تعداد در کارتن: ۳۰ عدد] | |, 
 | productID: 90436539 , Product info: Name: بوته آویز شمشاد | Price: 65000 | Description: - | Table: [تعداد در کارتن: ۲۰] | |, 
 | productID: 90436540 , Product info: Name: قوری پیرکس ۱۱۰۰ میل | Price: 75000 | Description: - | Table: [تعداد در کارتن: ۱۸ عدد] | |, 
 | productID: 90436541 , Product info: Name: یخچال ساید الجی ایکس 450 | Price: - | Description: - | Table: - | |, 
 | productID: 90436542 , Product info: Name: آرکوپال 26پارچه مربع لب طلا | Price: - | Description: - | Table: [پلوخوری: 6 عدد|خورشت خوری: 6 عدد|پیاله: 6 عدد|پیش دستی: 6 عدد|دیس: 1 عدد|کاسه سالاد: 1 عدد] | |, 
 | productID: 90436543 , Product info: Name: یخچال دوقلو، تلویزیون 65 الجی، لباسشویی | Price: - | Description: بیعانه آقای غلامی از بابل. مبارک باشه با تشکر بازرگانی فاضلی گناوه مدیریت حاج پیمان فاضلی 09128180446 | Table: [] | |, 
 | productID: 90436544 , Product info: Name: کولر گازی ایستاده 60هزار سردوگرم | Price: 98500000 | Description: حراج فوری کولر گازی ایستاده 60هزار سردوگرم. بدون کارتون، همراه با لوله و گارانتی. فقط بصورت نقدی. فقط یک دستگاه موجود است. | Table: [ظرفیت: 60000|نوع: ایستاده|عملکرد: سرد و گرم|وضعیت: بدون کارتون|اقلام همراه: لوله|گارانتی: دارد|تعداد موجود: 1|روش پرداخت: نقدی] | |, 
 | productID: 90436545 , Product info: Name: یخچال ساید بای ساید بوش مدل KA80A404EU | Price: - | Description: دارای 5 سال گارانتی. ارسال به تمام نقاط کشور. پرداخت درب منزل. | Table: [رتبه انرژی:+A|گنجایش کل (فوت):30|هشدار درب:دارد|آبسردکن و یخساز بیرونی:دارد|لامپ یخچال:دارد|ضد اثر انگشت:دارد|جا لیوانی:دارد|نوع درب:دو درب همراه با هوم بار|جنس بدنه:استیل ضد زنگ|شرکت سازنده:بوش|سیستم سرد کننده سریع:دارد|گنجایش یخچال (لیتر):359|گنجایش فریزر (لیتر):286|گنجایش کل (لیتر):645|یخچال - تعداد طبقات:3|یخچال - تعداد کشو:3|فریزر - تعداد طبقات:3|فریزر - زمان نگهداری در قطع برق:4 ساعت|فریزر - طبقات شیشه ای:4 (2 عدد با قابلیت تنظیم ارتفاع)|فریزر - برنامه زمانبندی برای مواد منجمد:دارد|فریزر - قابلیت انجماد در 24 ساعت:11 کیلوگرم|فریزر - یخساز اتوماتیک:آب شهری|میزان صدا:43 دسی بل] | |, 
